text,label
"@Berke_Bayrktr @krvmvi @vatanmudafii @arminiusberg ""Oysa şu an olan şey tek bir yere para akıtmak"" diye bir sözüne cevap olarak yazdım. Kanıtlayamadığın, ispatlayamadığın bir şey söylüyorsun. İddana göre teknofest yarışmalarından birine katılmışsınız(?) destek alamadınız diye destek alanların üstüne çamur atıyorsun.",-1
"@nhlkya34 Hanımefendi bu ülkede ne Selçuk Bayraktar'lar var, bilseniz...

Teknofest neden yapılıyor,

Keşfetmek ve arkasında durmak lazim https://t.co/BpknfhePrY",1
"🏫 Ümraniye #DENEYAP Teknoloji Atölyesi Öğrencileri Güvenli Trafik İçin Proje Geliştiriyor 🚦

Yayaların daha güvenli seyahat edebilmesi amacıyla proje geliştiren Teknobest Takımı, İnsanlık Yararına Teknoloji Yarışması finalisti olarak TEKNOFEST'teydi 🦾

#TEKNOFEST2020 https://t.co/U5Cj6p0LJy",1
"Teknofest birincileri Teknokent'te - Teknofest 2020'de,  Enkaz Altı Arama Kurtarma Robotu projesi ile 1'inci olan ekip, Malatya İnönü Üniversitesi Teknokent'i ziyaret etti. https://t.co/o0Uoqsj2lj @malatyanetmedya aracılığıyla",1
"@IAF10V @krvmvi @vatanmudafii @arminiusberg Sinirlen sinirlen, bilip bilmedenmiş.Yine damat ürünü olan ve bir yere kadar desteklesiğim teknofest yarışmalarından örnek vereyim. Bu yarışmaya roket alanında 2 senedir katılıyoruz ve ilk aşamayı geçtikten sonra maddi destek alamıyoruz.Verecekleri 3-4 bin onu bile veremiyorlar.",-1
Dr. Öğr. Üyesi Bilal KURŞUNCU ve Dr. Öğr. Üyesi Abid USTAOĞLU hocalarımızın değerli düşünce ve  katkılarıyla başladı. Teknofest yarışları ve hali hazırda devam eden projeler hakkında bilgiler verildi . Toplantıya katılan herkese teşekkür ederiz.,0
33-Günümüzde de yerli araba çalışmalarını kötüleyelim eğer aynı görüşte değilsek ya da TEKNOFEST te katılan öğrencilerin başarılarını görmezden gelelim öyle mi sırf siyasi sebeplerle++,0
"Teknofest birincilerinden Teknokent'e ziyaret - Teknofest 2020'de,  Enkaz Altı Arama Kurtarma Robotu projesi ile 1'inci olan ekip, Malatya İnönü Üniversitesi Teknokent'i ziyaret etti. https://t.co/2qQDcAVc5r @malatyasurmans1 aracılığıyla",0
"Teknofest birincilerinden Teknokent’e ziyaret
https://t.co/IOOJjVv9Ck",0
@iibrahimcann teknofest ne aq?,-1
Bekle beni Teknofestli günler  az daha büyüyüp geliyorum🚀🧒🏻 #teknofest #teknofest2020  @Selcuk https://t.co/VLaAXz3yVB,1
"Teknofest Birincilerinden Malatya Teknokent'e Ziyaret
https://t.co/6Fl7o2MoPv https://t.co/0DrrRHq9aW",0
TEKNOFEST'in enerjisi AKSA'dan | İnşaat Manşet https://t.co/lL4WGie7p9 https://t.co/Xi2cu3vuYG,0
